SiteCode,SiteName,Latitude,Longitude,IGBPCode
RU-Zbo,Zotino Bog,60.75,89.3833,ENF
RU-Zfw,Zotino forest West,60.75,89.3833,ENF
RU-Zot,Zotino,60.80080032,89.35079956,WSA
SD-Dem,Demokeya,13.2829,30.4783,SAV
SE-Asa,Asa,57.17226111,14.8001,ENF
SE-Deg,Degero,64.182029,19.556539,WET
SE-Ers,Erssjön,58.37112,12.16125,WAT
SE-Faj,Fäjemyr,56.26546944,13.55351389,WET
SE-Fla,Flakaliden,64.11277777,19.45694444,ENF
SE-Fos,Följesjön,58.37577,12.15399,WET
SE-Htm,Hyltemossa,56.09763,13.41897,ENF
SE-Kno,Knottåsen,60.99825,16.21727778,ENF
SE-Lnn,Lanna,58.34062958,13.10176754,CRO
SE-Myc,Mycklemossen,58.36503,12.1694,WET
SE-Nor,Norunda,60.08649722,17.47950278,ENF
SE-Oes,Oestergarnsholm,57.4301,18.98415,WAT
SE-Ros,Rosinedal-3,64.1725,19.738,ENF
SE-Sgr,Skogaryd,58.363853,12.14973,ENF
SE-Sk1,Skyttorp 1,60.125,17.91805556,ENF
SE-Sk2,Skyttorp 2,60.12966667,17.84005556,ENF
SE-St1,Stordalen grassland,68.3541488,19.050333,WET
SE-St2,Stordalen forest,68.35424444,19.04714444,DBF
SE-Sto,Stordalen Palsa Bog (ICOS),68.35594288,19.04520892,WET
SE-Svb,Svartberget,64.25611,19.7745,ENF
SG-TKr,Telok Kurau,1.314294,103.911197,URB
SJ-Adv,Adventdalen,78.186,15.923,WET
SJ-Blv,Bayelva Spitsbergen,78.92163086,11.83108521,BSV
SK-Ta1,Tatra Jamy,49.15833333,20.26111111,ENF
SK-Ta2,Tatra Vysne Hagy,49.12638889,20.10777778,ENF
SK-Tat,Tatra Danielov Dom,49.1207778,20.1635,ENF
SN-Dhr,Dahra,15.40278,-15.43222,SAV
SN-Nkr,Niakhar,14.49581,-16.45357,CRO
UA-Pet,Petrodolinskoe,46.45614,30.33609,CRO
UG-Jin,Jinja,0.4,33.18333333,WET
UK-AMo,Auchencorth Moss,55.792546,-3.2436918,WET
UK-Arn,Arnol,58.322834,-6.600454,WET
UK-Bam,Balmoral,56.93,-3.16,WET
UK-BBB,Bishop's Burton Bioenergy,53.86104,-0.4909216,CRO
UK-BBC,Bishop's Burton Cropland,53.86088,-0.4865083,CRO
UK-BnB,Ballynahone Bog,54.82326,-6.669835,WET
UK-BtB,Beltie Burn,57.09048056,-2.597247222,WET
UK-CLs,Cross Lochs,58.370674,-3.9639542,WET
UK-Cst,Cockshutts,53.84995,-2.773793,CRO
UK-Dke,Dyke,58.427264,-3.968809,WET
